O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,5,28672,4,5.42956,19.0696,0.467525,0.0243424,0.394694,0.000529532
true,5,28672,5,4.75937,19.062,0.467315,0.023776,0.406024,0.00053358
true,5,32768,1,6.35964,24.7657,0.602096,0.0240547,0.422771,0.000516304
true,5,32768,2,6.57942,24.8173,0.625768,0.0240894,0.417772,0.000520228
true,5,32768,3,6.38278,24.8391,0.594828,0.0242551,0.418234,0.000531553
true,5,32768,4,10.9074,24.7456,0.866087,0.0248035,0.401549,0.000539808
true,5,32768,5,6.14146,24.7659,0.590236,0.0240755,0.422347,0.000537553
true,5,36864,1,8.72802,31.3539,0.777886,0.0240724,0.436267,0.000543241
true,5,36864,2,9.20016,31.2814,0.835445,0.0253745,0.418702,0.000534835
true,5,36864,3,8.55752,31.3793,0.753378,0.0240836,0.439182,0.000531086
true,5,36864,4,8.33338,31.3204,0.781895,0.0249132,0.441989,0.000521847
true,5,36864,5,8.05671,31.3372,0.758947,0.0243174,0.443677,0.000538234
true,6,1024,1,0.00767529,0.403547,0.00244484,0.0249374,0.311717,0.000618451
true,6,1024,2,0.0106805,0.411434,0.00436522,0.024818,0.316888,0.000605705
true,6,1024,3,0.00933559,0.422114,0.00266844,0.0251235,0.322405,0.000657853
true,6,1024,4,0.00796074,0.427542,0.00258406,0.0251793,0.329899,0.000648489
true,6,1024,5,0.00917508,0.419908,0.00265906,0.0249101,0.321408,0.000620727
true,6,2048,1,0.0313657,0.52343,0.00428071,0.0250486,0.33607,0.000608486
true,6,2048,2,0.0333665,0.518899,0.00465384,0.0248183,0.330463,0.000617344
true,6,2048,3,0.0311358,0.512668,0.00404986,0.026272,0.320322,0.000639818
true,6,2048,4,0.0332302,0.523517,0.00470717,0.0260343,0.332742,0.000646228
true,6,2048,5,0.0573007,0.50556,0.00897911,0.0251415,0.316627,0.000608315
true,6,4096,1,0.140348,0.898254,0.0129935,0.0251303,0.346989,0.000625099
true,6,4096,2,0.134112,0.89792,0.0122783,0.0250096,0.347142,0.000606603
true,6,4096,3,0.133933,0.892755,0.0123552,0.0253734,0.343913,0.000614626
true,6,4096,4,0.123736,0.903072,0.0117172,0.0250869,0.353247,0.000625849
true,6,4096,5,0.121973,0.893201,0.0115958,0.0254846,0.343052,0.00063967
true,6,8192,1,0.542209,1.8251,0.0399916,0.0253873,0.349485,0.000613892
true,6,8192,2,0.522302,1.66674,0.0401319,0.0258063,0.341317,0.00061567
true,6,8192,3,0.520859,1.66058,0.040076,0.0255226,0.338469,0.000627001
true,6,8192,4,0.524908,1.66373,0.0381822,0.0254351,0.339653,0.000613953
true,6,8192,5,0.490367,1.82874,0.0398441,0.0258997,0.342602,0.000662037
true,6,12288,1,1.30267,3.29935,0.053934,0.0263415,0.366596,0.000632173
true,6,12288,2,1.16088,3.43658,0.0882655,0.0255566,0.378506,0.000626368
true,6,12288,3,1.14832,3.28759,0.0877675,0.0256158,0.379004,0.000600068
true,6,12288,4,1.19561,3.27833,0.0872462,0.0265857,0.370684,0.000598511
true,6,12288,5,1.03965,3.29205,0.0862631,0.0256596,0.383054,0.000616646
true,6,16384,1,1.87133,5.5434,0.153895,0.0261686,0.413054,0.000608804
true,6,16384,2,1.86505,5.61974,0.150713,0.0257249,0.403568,0.000619883
true,6,16384,3,1.90719,5.65511,0.135363,0.0261857,0.412307,0.000603023
true,6,16384,4,1.98397,5.5286,0.153817,0.0258247,0.401914,0.000613558
true,6,16384,5,1.99512,5.52612,0.141569,0.0259315,0.400724,0.000619355
true,6,20480,1,3.08243,8.51066,0.239649,0.0256979,0.434693,0.000608918
true,6,20480,2,5.13616,8.46327,0.144544,0.0268092,0.423234,0.000616362
true,6,20480,3,3.32137,8.43615,0.245612,0.0266603,0.439981,0.000628373
true,6,20480,4,3.38448,8.51632,0.240159,0.0267931,0.433918,0.000602423
true,6,20480,5,3.20904,8.48917,0.227359,0.0260663,0.438677,0.000640463
true,6,24576,1,4.6816,11.9669,0.344081,0.0261082,0.47749,0.000607544
true,6,24576,2,4.40782,12.0317,0.337578,0.0264486,0.484544,0.000623171
true,6,24576,3,4.78907,11.9964,0.346052,0.0263179,0.477431,0.000603263
true,6,24576,4,4.5211,12.0065,0.348226,0.0266089,0.474337,0.00060231
true,6,24576,5,4.3997,11.9816,0.224717,0.0258604,0.446972,0.000633553
true,6,28672,1,6.00673,16.2206,0.469114,0.0261125,0.503502,0.000597496
true,6,28672,2,6.53738,16.2711,0.476851,0.0265829,0.501865,0.000619919
true,6,28672,3,6.07474,16.2101,0.56336,0.0260238,0.520785,0.000616801
true,6,28672,4,6.40287,16.2338,0.473977,0.0272572,0.498881,0.000629169
true,6,28672,5,6.2005,16.2734,0.466475,0.0263422,0.504416,0.000597746
true,6,32768,1,7.67059,21.318,0.588357,0.0258247,0.529255,0.000602057
true,6,32768,2,8.22357,21.2686,0.603722,0.0260621,0.521135,0.000605174
true,6,32768,3,8.18942,21.4377,0.599335,0.0260859,0.532595,0.000634027
true,6,32768,4,7.19549,21.3467,0.407581,0.0282042,0.499835,0.000656755
true,6,32768,5,8.35645,21.4751,0.603411,0.0269202,0.540742,0.000604567
true,6,36864,1,9.88484,26.7497,0.739568,0.0258387,0.555139,0.000608562
true,6,36864,2,10.2329,26.7851,0.732392,0.0259942,0.570674,0.000604344
true,6,36864,3,10.2651,26.7732,0.776539,0.0260893,0.550386,0.000653151
true,6,36864,4,7.44173,26.7262,0.594154,0.0266248,0.519418,0.000611841
true,6,36864,5,9.91303,26.8137,0.777546,0.0265964,0.564997,0.000625655
true,7,1024,1,0.00956972,0.471162,0.00249224,0.0271288,0.376643,0.000718575
true,7,1024,2,0.00986962,0.485339,0.00258733,0.027353,0.388754,0.000703159
true,7,1024,3,0.00939956,0.484961,0.00250901,0.027032,0.391033,0.0007037
