N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
20480,6,0.000701085,0.0043319,28.1361,0.0360219,2.2327,0.0225007,0.0188369
20480,6,0.000641131,0.00358875,27.992,0.0372503,2.24374,0.0209532,0.0182862
20480,6,0.000630856,0.00306033,28.1741,0.0380363,2.43565,0.0245572,0.0221437
20480,6,0.000869959,0.00434557,27.9213,0.0327306,2.18976,0.0195183,0.0158431
20480,6,0.000778496,0.00423835,27.9265,0.033609,2.19766,0.0206861,0.017089
20480,7,0.000810551,0.0038689,29.0557,0.0347218,3.05366,0.0206128,0.0175195
20480,7,0.000918958,0.00352173,28.8576,0.0333036,3.0369,0.018837,0.0160565
20480,7,0.000875012,0.00334538,29.0934,0.0321185,3.26873,0.0177601,0.015178
20480,7,0.000692923,0.00337019,29.1278,0.0351541,3.29812,0.0198965,0.0172774
20480,7,0.000825713,0.00411944,28.8731,0.0326186,3.05041,0.0191219,0.0157892
20480,8,0.00122625,0.00407501,29.9111,0.0349765,3.93237,0.0202578,0.0170432
20480,8,0.000827384,0.0036336,30.1634,0.040133,4.32021,0.0250769,0.0222879
20480,8,0.000890187,0.00421501,29.9822,0.0353286,4.00995,0.0213052,0.0179411
20480,8,0.000870649,0.0033024,30.2904,0.0390757,4.33506,0.0237694,0.0213501
20480,8,0.00114543,0.00331664,30.3005,0.041621,4.32027,0.0261185,0.0236044
20480,9,0.00106671,0.00378376,31.5121,0.0382656,5.53592,0.0214593,0.0185672
20480,9,0.00147573,0.0045388,31.0549,0.0379904,5.09792,0.0224434,0.0189409
20480,9,0.00136728,0.00413679,31.4446,0.0386407,5.48194,0.0218781,0.0186886
20480,9,0.00132823,0.00349754,31.4896,0.0368973,5.49102,0.0209229,0.0182946
20480,9,0.00142969,0.00358984,31.4431,0.0403324,5.47156,0.0237028,0.0209889
30720,10,0.00205191,0.00375364,45.9414,0.0400365,7.06746,0.022976,0.0201696
30720,10,0.0018072,0.0036761,45.8672,0.039143,6.99758,0.0205253,0.0178741
30720,10,0.00184984,0.00387122,45.9565,0.0478785,7.02825,0.0307074,0.027884
30720,10,0.00162932,0.00403067,45.9701,0.0462929,7.09561,0.029038,0.0259831
30720,10,0.00182201,0.00421414,45.8518,0.0392965,6.98403,0.0217757,0.018608
30720,11,0.00196941,0.00494367,47.0477,0.0421233,7.90789,0.026497,0.0227378
30720,11,0.001985,0.00402637,47.5609,0.0429085,8.37442,0.0248727,0.0220093
30720,11,0.00223519,0.00378535,47.5355,0.0446021,8.35206,0.0271436,0.0244937
30720,11,0.00235693,0.00398059,47.5479,0.0438191,8.37532,0.0273633,0.024498
30720,11,0.00217232,0.00338061,47.5295,0.0421497,8.35456,0.0239472,0.0216602
30720,12,0.00192722,0.00361426,49.1858,0.0433285,9.98274,0.0267304,0.0242067
30720,12,0.00208941,0.00398482,49.1894,0.0554949,9.98168,0.0389211,0.0361018
30720,12,0.00211989,0.00495592,48.6984,0.0405317,9.4906,0.0246519,0.0209872
30720,12,0.00210885,0.00388049,49.2207,0.041576,10.0098,0.0243598,0.0217016
30720,12,0.00209689,0.00383876,49.2299,0.0464727,10.0012,0.0297791,0.0271344
30720,13,0.00230398,0.00437101,50.8193,0.0440624,11.2109,0.0247323,0.0217121
30720,13,0.00216862,0.00513696,50.9061,0.0449656,11.2361,0.0289194,0.0251212
30720,13,0.00216114,0.00563111,50.8063,0.0436574,11.1357,0.0266717,0.0223462
30720,13,0.00256509,0.00425723,51.2221,0.0522628,11.5798,0.0331497,0.0301228
30720,13,0.00215892,0.00412363,51.2632,0.0504399,11.5501,0.031567,0.0286858
30720,14,0.00348876,0.00439466,53.1409,0.0462358,13.5132,0.0258959,0.0227284
30720,14,0.00276762,0.00536163,52.8683,0.0464006,13.2463,0.0278791,0.0238957
30720,14,0.00234844,0.00452248,53.3289,0.0492744,13.6173,0.0310939,0.0278867
30720,14,0.00282288,0.00442107,52.9386,0.0434222,13.323,0.0259148,0.0229222
30720,14,0.00222017,0.00433904,53.2344,0.0463169,13.6197,0.0283652,0.0253942
30720,15,0.00248268,0.00489179,55.2075,0.0610168,15.5464,0.0428158,0.0393917
30720,15,0.00237432,0.00369476,55.3171,0.061427,15.5833,0.0423672,0.0400875
30720,15,0.002051,0.00377671,55.0832,0.052252,15.4373,0.0337043,0.0314197
30720,15,0.00277633,0.00511854,54.9986,0.0499479,15.3578,0.0316288,0.0279653
30720,15,0.00250506,0.00406443,54.9903,0.0516312,15.3358,0.0321776,0.0295983
30720,16,0.00295884,0.00448151,57.296,0.0600483,17.6221,0.0402687,0.0373031
30720,16,0.00266534,0.00431107,57.3898,0.0525209,17.7256,0.0339179,0.0311761
30720,16,0.00304555,0.00561854,57.6303,0.0552483,17.962,0.0376849,0.0336496
30720,16,0.00242786,0.00573728,57.5056,0.0479453,17.8487,0.0307763,0.0266643
30720,16,0.00284072,0.00762752,57.4289,0.0614559,17.7373,0.0440655,0.0379634
30720,1,0.000262423,0.000440206,115.957,N/A,N/A,N/A,N/A
30720,1,0.000289803,0.000411106,115.937,N/A,N/A,N/A,N/A
30720,1,0.000285497,0.000488702,115.927,N/A,N/A,N/A,N/A
30720,1,0.000267226,0.000395895,115.929,N/A,N/A,N/A,N/A
30720,1,0.000291275,0.00040963,115.927,N/A,N/A,N/A,N/A
30720,3,0.000637061,0.00383101,40.2003,0.030694,0.626252,0.0194645,0.0162161
30720,3,0.000680354,0.00358666,40.04,0.0328072,0.629574,0.0202361,0.0172138
30720,3,0.000673993,0.00299381,40.0822,0.0306735,0.668393,0.0170717,0.014642
30720,3,0.000671462,0.00392339,40.065,0.0327012,0.646713,0.0200044,0.0166577
30720,3,0.000543268,0.00363812,40.0365,0.031786,0.62722,0.0198836,0.0168201
30720,4,0.000822454,0.00308229,40.3142,0.032326,1.12291,0.0183326,0.0158326
30720,4,0.000749307,0.00393738,40.0976,0.0333741,1.04989,0.0209841,0.0176188
30720,4,0.00083693,0.0038066,40.0902,0.0356486,1.03816,0.0230128,0.0197905
30720,4,0.000661919,0.00385045,40.1086,0.0351723,1.0526,0.0221514,0.0188019
30720,4,0.000659038,0.00364806,40.1032,0.0316225,1.05143,0.0188267,0.0157706
