O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,7,36864,2,13.2609,20.5944,2.07362,0.268267,0.654501,0.260282
true,7,36864,3,12.4702,20.5691,1.59823,0.270654,0.634758,0.262694
true,8,1024,1,0.0112066,0.423512,0.0104817,0.0245724,0.336468,0.0187512
true,8,1024,2,0.0106995,0.482697,0.0147535,0.0255286,0.393848,0.0202205
true,8,1024,3,0.0117133,0.496737,0.0151763,0.0233226,0.410825,0.0177959
true,8,2048,1,0.0457375,0.577414,0.0287929,0.032116,0.422577,0.0263163
true,8,2048,2,0.0567276,0.571687,0.0326043,0.0293807,0.42084,0.0240989
true,8,2048,3,0.0557839,0.57262,0.0326409,0.0300543,0.421277,0.0246936
true,8,4096,1,0.172994,0.874484,0.0659361,0.0415977,0.474718,0.035391
true,8,4096,2,0.180455,0.846046,0.0647486,0.0415333,0.450274,0.0357826
true,8,4096,3,0.167214,0.8602,0.0823159,0.044811,0.453712,0.0390197
true,8,8192,1,0.724003,1.54151,0.148175,0.0657047,0.470373,0.0595765
true,8,8192,2,0.627129,1.40501,0.151248,0.0652666,0.468018,0.0585298
true,8,8192,3,0.965013,1.41274,0.209509,0.0679966,0.469135,0.0615152
true,8,12288,1,1.59389,2.54123,0.270282,0.0913861,0.49822,0.0839031
true,8,12288,2,N/A,N/A,N/A,N/A,N/A,N/A
true,8,12288,3,1.52452,2.69191,0.253417,0.0927583,0.503729,0.0863342
true,8,16384,1,2.45651,4.06706,0.40108,0.113995,0.551692,0.106535
true,8,16384,2,2.72134,4.22402,0.407528,0.121996,0.534049,0.114074
true,8,16384,3,3.78607,4.04565,0.334502,0.116442,0.520854,0.108817
true,8,20480,1,5.21485,6.24402,0.466573,0.145477,0.564363,0.137178
true,8,20480,2,4.20446,6.18083,0.600466,0.140185,0.584888,0.132007
true,8,20480,3,4.54751,6.22745,0.595807,0.144992,0.582076,0.135895
true,8,24576,1,5.62993,8.50142,0.808596,0.166699,0.654969,0.157293
true,8,24576,2,7.69151,8.61805,1.07358,0.165867,0.639023,0.157754
true,8,24576,3,6.39658,8.51661,0.800285,0.165811,0.638612,0.157332
true,8,28672,1,8.59009,11.269,1.04623,0.187817,0.67479,0.179336
true,8,28672,2,7.32686,11.2105,0.810992,0.188864,0.648923,0.180535
true,8,28672,3,8.48235,11.2897,1.06118,0.191938,0.684087,0.182949
true,8,32768,1,11.9803,14.4288,1.31,0.220394,0.70526,0.211686
true,8,32768,2,11.1888,14.3718,1.08105,0.213824,0.678871,0.204708
true,8,32768,3,11.3276,14.5633,1.31221,0.221864,0.698275,0.213214
true,8,36864,1,11.2794,18.1556,1.36153,0.242144,0.696655,0.231333
true,8,36864,2,13.7812,18.2451,1.60535,0.238196,0.761617,0.229074
true,8,36864,3,13.444,18.2519,1.60462,0.240516,0.766604,0.231716
true,9,1024,1,0.0127356,0.524657,0.0119821,0.0252612,0.440661,0.0195087
true,9,1024,2,0.0143596,0.523209,0.0119622,0.0247628,0.436554,0.0181781
true,9,1024,3,0.0145021,0.563053,0.0139685,0.025012,0.472467,0.0184187
true,9,2048,1,0.0501738,0.632588,0.0275518,0.0321509,0.477418,0.0253077
true,9,2048,2,0.0526318,0.64518,0.0324872,0.0355477,0.488541,0.0295135
