gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
10,32768,14.4118,41.4034,1.253,1.06953,1.83935,0.348643
10,36864,16.0568,52.2277,1.51874,1.20073,2.02913,0.395919
10,36864,18.0988,52.2423,1.52794,1.2588,1.95859,0.423766
10,36864,19.5473,52.1681,1.526,1.16838,1.99796,0.363764
10,4096,0.213239,2.55131,0.0782873,0.357094,1.21063,0.213847
10,4096,0.231151,2.57747,0.0649495,0.351264,1.25394,0.213605
10,4096,0.243184,2.54993,0.0771375,0.360862,1.21472,0.220312
10,8192,0.791242,4.16973,0.19337,0.46614,1.14166,0.237621
10,8192,0.807438,4.17183,0.132274,0.457871,1.1393,0.230858
10,8192,1.07222,4.2544,0.190252,0.531719,1.15632,0.305568
11,1024,0.0170502,1.61079,0.0145459,0.288476,1.20918,0.208805
11,1024,0.0196095,1.60058,0.0146373,0.297141,1.19151,0.215267
11,1024,0.0227686,1.62288,0.0144819,0.296553,1.21229,0.214592
11,12288,2.43184,7.2721,0.257182,0.599645,1.48009,0.259593
11,12288,2.6501,7.24166,0.257092,0.594836,1.46012,0.256236
11,12288,2.7821,7.25797,0.256836,0.598979,1.4779,0.256341
11,16384,4.37505,11.2477,0.559338,0.811277,1.49883,0.376516
11,16384,4.66848,11.2136,0.557677,0.743708,1.51027,0.31304
11,16384,5.2771,11.2292,0.393066,0.722125,1.57203,0.291196
11,2048,0.0706629,1.91907,0.0284397,0.39498,1.24971,0.290974
11,2048,0.0802952,1.84867,0.0318186,0.321585,1.25508,0.216019
11,2048,0.0804102,1.83223,0.0289481,0.316413,1.24201,0.213357
11,20480,6.23418,16.7773,0.556624,0.810731,1.72417,0.291781
11,20480,6.83698,16.7755,0.55767,0.824835,1.70049,0.305256
11,20480,7.01573,16.8041,0.557461,0.870146,1.68934,0.350011
11,24576,7.97715,22.7824,0.748986,0.97416,1.87108,0.34864
11,24576,8.17114,22.826,0.745524,0.961649,1.88926,0.347491
11,24576,8.41445,22.7333,0.766306,0.921004,1.85169,0.309976
11,28672,11.1582,29.8966,0.981788,1.06427,1.9731,0.361331
11,28672,11.2307,29.9204,0.982711,1.06705,1.98296,0.363437
11,28672,12.5909,29.8694,0.978314,1.03246,1.97037,0.327675
11,32768,15.4973,38.3341,1.21984,1.13383,2.07541,0.339141
11,32768,16.5654,38.1178,1.22352,1.1469,2.04833,0.341549
11,32768,16.8726,38.1407,1.22234,1.13838,2.07805,0.340619
11,36864,17.997,48.2554,1.49866,1.26885,2.21924,0.364184
11,36864,18.7901,48.2014,1.48692,1.25049,2.20077,0.359676
11,36864,20.4074,48.1963,1.48951,1.25225,2.19754,0.361263
11,4096,0.270287,2.70609,0.0802205,0.413268,1.37507,0.257606
11,4096,0.29049,2.63681,0.078857,0.37349,1.35777,0.224251
11,4096,0.298115,2.69159,0.0787482,0.414535,1.36684,0.261925
11,8192,0.919967,4.43525,0.199946,0.536345,1.33818,0.287542
11,8192,1.0979,4.50346,0.206192,0.534545,1.36312,0.290516
11,8192,1.18391,4.45528,0.199477,0.485158,1.36789,0.240939
12,1024,0.0172633,1.738,0.0145078,0.309226,1.31101,0.225123
12,1024,0.0174728,1.79084,0.0146939,0.364017,1.31165,0.276826
12,1024,0.0244898,1.74315,0.0129778,0.307458,1.32126,0.22245
12,12288,2.2648,7.05048,0.256195,0.649651,1.63168,0.267149
12,12288,2.99984,7.0059,0.250683,0.63174,1.62256,0.262673
12,12288,3.18113,7.07887,0.251025,0.656632,1.64265,0.287593
12,16384,4.66953,10.7624,0.375466,0.75102,1.73852,0.282517
12,16384,5.31373,10.6985,0.395021,0.743532,1.71445,0.276395
12,16384,5.42053,10.7161,0.565831,0.756318,1.69076,0.282439
12,2048,0.0724435,2.00265,0.0289129,0.343252,1.38586,0.234627
12,2048,0.0737865,2.0039,0.0328814,0.340738,1.39267,0.231088
12,2048,0.0853408,2.04787,0.0329907,0.383514,1.38718,0.273222
12,20480,6.81333,15.9135,0.547186,0.867942,1.88637,0.301955
12,20480,7.34191,15.9131,0.545036,0.869989,1.88053,0.302973
12,20480,7.95571,15.914,0.545002,0.866409,1.87012,0.298961
12,24576,10.7032,21.2513,0.743118,0.984133,2.03069,0.308684
12,24576,10.7052,21.2517,0.72999,0.972962,2.02248,0.306342
12,24576,8.92924,21.2709,0.737793,0.979197,2.04638,0.307613
12,28672,10.9065,27.9928,0.982885,1.11869,2.17694,0.347145
12,28672,12.1116,27.9232,0.978891,1.09899,2.17372,0.326988
12,28672,13.0494,28.0634,0.981016,1.16621,2.19289,0.396369
12,32768,15.6227,35.6879,1.22014,1.28015,2.27412,0.407903
12,32768,17.4634,35.6105,1.2001,1.21236,2.25818,0.340768
12,32768,17.5269,35.6033,1.20616,1.21445,2.24738,0.342872
12,36864,19.7368,44.7351,1.46888,1.39951,2.40625,0.425754
12,36864,22.3758,44.6796,1.49724,1.35175,2.40219,0.376205
